كود الايزيك,النشاط الاقتصادي,رقم النشاط التفصيلي,اسم النشاط التفصيلي
477333,البيع بالتجزئة لأجهزة ومعدات ومواد الوقاية والحماية من الحريق,843460,البيع بالتجزئة لأجهزة ومعدات ومواد الوقاية والحماية من الحريق
461031,أنشطة التصدير,1608,أنشطة التصدير
492243,النقل المتخصص,1221,نقل المعتمرين والزوار من داخل المملكة
873020,دور الرعاية مع الإقامة لذوي الاحتياجات الخاصة,1870,دور الرعاية مع الإقامة لذوي الاحتياجات الخاصة
813012,رعاية وصيانة مناظرالمباني والحدائق المنزلية وحدائق الأسقف وواجهات المباني الخاصة وغيرها,1841,رعاية وصيانة مناظرالمباني والحدائق المنزلية وحدائق الأسقف وواجهات المباني الخاصة وغيرها
960950,العمل بالأجهزة التي تعمل بالعملة والتي توفر خدمات شخصية يشمل  أجهزة التصوير الفوتوغرافي أجهزة قياس الوزن الخزائن التي تفتح بالعملة وغيرها,809153,العمل بالأجهزة التي تعمل بالعملة والتي توفر خدمات شخصية  يشمل  أجهزة التصوير الفوتوغرافي أجهزة قياس الوزن الخزائن التي تفتح بالعملة وغيرها
251153,صناعة وتركيب أبواب الكراجات,849779,صناعة وتركيب أبواب الكراجات
466360,البيع بالجملة لورق الحائط واغطية الارضيات,849801,البيع بالجملة لورق الحائط واغطية الارضيات
466940,البيع بالجملة للمواد البلاستيكية الاولية والمطاط والالياف الصناعية,849802,البيع بالجملة للمواد البلاستيكية الاولية والمطاط والالياف الصناعية
477381,بيع وصيانة غرف التبريد والبرادات بالتجزئة,834521,بيع وصيانة غرف التبريد والبرادات بالتجزئة
432254,تمديدات انابيب الري وصيانتها واصلاحها,813021,تمديدات انابيب الري وصيانتها واصلاحها
869037,مركز الرعاية عن بعد والطب الاتصالي,850727,مركز الرعاية عن بعد والطب الاتصالي
101044,تقطيع وتجهيز وتعبئة وتغليف اللحوم والدواجن,856189,تقطيع وتجهيز وتعبئة وتغليف اللحوم والدواجن
259951,صناعة الأواني المعدنية المجوفة وما يماثلها من أدوات المطبخ والمائدة وأدوات الشوي والقلي,1499,صناعة الأواني المعدنية المجوفة وما يماثلها من أدوات المطبخ والمائدة وأدوات الشوي والقلي
464953,البيع بالجملة لأعواد الأراك,849765,البيع بالجملة لأعواد الأراك
474151,البيع بالتجزئة للبرمجيات,773205,البيع بالتجزئة للبرمجيات
439012,أعمال تركيب الصخور,813023,أعمال تركيب الصخور
521092,التخزين في مستودعات صوامع الغلال والدقيق ومخازن الأغذية والمنتجات الزراعية,1749,التخزين في مستودعات صوامع الغلال والدقيق ومخازن الأغذية والمنتجات الزراعية
477391,بيع وتركيب معدات وأدوات محلات التجميل,1734,بيع وتركيب معدات وأدوات محلات التجميل
869025,مراكز الأطراف الاصطناعية والأجهزة التقويمية,1983,مراكز الأطراف الاصطناعية والأجهزة التقويمية
476312,البيع بالتجزئة لمعدات التخييم,1238,البيع بالتجزئة لمعدات التخييم والرحلات البرية
477421,البيع بالتجزئة للأثاث المنزلي المستعمل,731,بيع أثاث منزلي مستعمل
422010,تمديد الانابيب باختلاف انواعها للكهرباء والاتصالات وغيرها,1379,تمديد الانابيب باختلاف انواعها للكهرباء والاتصالات وغيرها
464958,البيع بالجملة  للعطور,855239,البيع بالجملة  للعطور
869035,مراكز علاج السمع,1981,مراكز علاج أمراض السمع
501201,النقل المائي البحري والساحلي للبضائع المتنوعة,857485,النقل المائي البحري والساحلي للبضائع المتنوعة
855001,أنشطة الاستشارات التعليمية والتربوية,1059,استشارات تربوية وتعليمية
139241,قص وتفصيل الخيام والأشرعة,1432,مصنع قص وتفصيل الخيام والأشرعة
772192,تأجير وتشغيل العربات والكراسي المتحركة,854691,تأجير وتشغيل العربات والكراسي المتحركة
477322,بيع أدوات ومعدات خدمات التموين يشمل معدات تقديم الطعام في الفنادق والمستشفيات الخ,834498,بيع أدوات ومعدات لخدمات التموين  يشمل معدات تقديم الطعام في الفنادق والمستشفيات الخ
477151,البيع بالتجزئة للمنتجات والسلع الجلدية وتوابع السفر من الجلود وبدائل الجلود,837409,البيع بالتجزئة للمنتجات والسلع الجلدية وتوابع السفر من الجلود وبدائل الجلود
410030,إنشاءات المباني الجاهزة في المواقع,1548,إنشاءات المباني الجاهزة في المواقع
749035,أنشطة خدمات استشارات غذائية,773932,أنشطة خدمات استشارات غذائية
332023,تركيب المعدات والأجهزة الإشعاعية والطبية,1535,تركيب المعدات والأجهزة الإشعاعية والطبية
465304,البيع بالجملة للآلات والجرارات المستخدمة في الزراعة والتشجير وقص الحشائش,856473,البيع بالجملة للآلات والجرارات المستخدمة في الزراعة والتشجير وقص الحشائش
661911,تقديم خدمات الدفع لنقاط البيع والمنافذ الإلكترونية الآمن والذكية أجهزة الصراف الإيداع الآلي,888,صراف آلي ضمن مبنى او اسواق او بنك
852112,التعليم الثانوي للطالبات بمنهج وطني,1852,التعليم الثانوي للطالبات
711014,إدارة المشاريع الانشائية,854789,إدارة المشاريع الانشائية
477311,البيع بالتجزئة لكاميرات التصوير ومستلزماتها,1362,البيع بالتجزئة لكاميرات التصوير ومستلزماتها
869027,مراكز الخدمات الطبية المنزلية,1956,مراكز الخدمات الطبية المنزلية
869021,مراكز التأهيل الطبي,1985,مراكز التأهيل الطبي
782001,أنشطة وكالات التشغيل المؤقت لخدمات العمالة المنزلية,809133,أنشطة وكالات التشغيل المؤقت للخدمات المنزلية
239580,صناعة أصناف من الجبس  يشمل  الأطر والبراويز المنقوشة والتماثيل والفازات وأصناف الزينة الأخرى,178,ورشة زخرفة جبسية
259213,معالجة وطلي المعادن بالتلوين والتنظيف,1492,معالجة وطلي المعادن بالتلوين والتنظيف
711041,إستشارات الهندسة الميكانيكية,854949,إستشارات الهندسة الميكانيكية
477324,البيع بالتجزئة للآلات والمعدات الزراعية,673,بيع الات زراعية
641912,فروع بنوك تجارية اجنبية,852950,فروع بنوك تجارية اجنبية
464956,البيع بالجملة للأجهزة والمعدات والمستلزمات الطبية,851765,البيع بالجملة للأجهزة والمعدات والمستلزمات الطبية
681041,التطوير العقاري للمباني السكنية بأساليب البناء الحديثة,858577,التطوير العقاري للمباني السكنية بأساليب البناء الحديثة
251160,ورش صناعة الالمونيوم,201,ورش الالمنيوم
465920,البيع بالجملة للاثاث المكتبي,494,البيع بالجملة للاثاث المكتبي
591105,تشغيل استوديو صوتي ومرئي,855409,تشغيل استوديو صوتي ومرئي
823001,تنظيم وإدارة المعارض والمؤتمرات,1266,تنظيم وإدارة المعارض التجارية والمؤتمرات
932933,تشغيل مرافق الفعاليات الترفيهية,809152,تشغيل مرافق الفعاليات الترفيهية
477368,البيع بالتجزئة لمستلزمات الخيل,770737,البيع بالتجزئة لمستلزمات الخيل
811005,إدارة عمليات الصيانة والتشغيل في المباني والمرافق التابعة لها,857197,إدارة عمليات الصيانة والتشغيل في المباني والمرافق التابعة لها
829902,خدمات الكتبه العموميون,809149,خدمات الكتبه العموميون
325034,معامل الأسنان والتركيبات الصناعية,1516,معامل الأسنان والتركيبات الصناعية
773071,تأجير الحاسوب والأجهزته الملحقة,834540,تأجير الحاسوب والأجهزته الملحقة
464171,البيع بالجملة للأحذيه,1624,البيع بالجملة للأحذيه
239540,صناعة قواطع وألواح وأطر ومباني جاهزة من الخرسانة سابقة الصنع,1484,صناعة قواطع وألواح وأطر ومباني جاهزة من الخرسانة سابقة الصنع
381105,نقل نفايات البلدية,856937,نقل نفايات البلدية
465992,البيع بالجملة للآلات الصناعية  يشمل بيع المناجر والمناشر,849797,البيع بالجملة للآلات الصناعية يشمل بيع المناجر والمناشر
592012,انتاج التسجيلات الصوتية على CD,1939,انتاج التسجيلات الصوتية على CD
477422,البيع بالتجزئة للساعات المستعملة بأنواعها,834544,البيع بالتجزئة للساعات المستعملة بأنواعها
139211,قص وتفصيل الملاءات أكياس الوســائد المفارش والألحفة  الوسائد,1431,قص وتفصيل الملاءات و أكياس الوســائد و المفارش والألحفة و الوسائد
619016,تقديم خدمات مشغلي شبكات الاتصالات المتنقلة الافتراضية  MVNO,1969,تقديم خدمات مشغلي شبكات الاتصالات المتنقلة الافتراضية   MVNO
202361,صناعة مستحضرات التجميل,1464,صناعة مستحضرات التجميل
381101,خدمات جمع النفايات البلدية,774545,خدمات جمع النفايات البلدية
310021,صناعة الأثاث المعدني للمنازل والمكاتب والمطاعم والفنادق,849810,صناعة الأثاث المعدني للمنازل والمكاتب والمطاعم والفنادق
477386,البيع بالتجزئة للمولدات الكهربائية ولوازمها,834526,تجارة وصيانة ألات زراعية ومضخات ومولدات كهرباء ولوازمها بالتجزئة
829208,التغليف الحراري للاجهزة الالكترونية,834551,التغليف الحراري للاجهزة الالكترونية
452031,ورش حدادة السيارات,849832,ورش حدادة السيارات
854958,تثقيف واختبار العاملين في منشآت الغذاء والصحة العامة,855652,تثقيف واختبار العاملين في منشآت الغذاء والصحة العامة
465933,البيع بالجملة للأجهزة الأمنية,849882,البيع بالجملة للأجهزة الأمنية
222080,صناعة المنتجات الأسفنجية,1473,صناعة المنتجات الأسفنجية
951120,إصلاح وصيانة الطابعات والماسحات الضوئية,1880,إصلاح وصيانة الطابعات والماسحات الضوئية
465102,البيع بالجملة للبرمجيات ويشمل الاستيراد,1958,البيع بالجملة للبرمجيات ويشمل الاستيراد
383005,التدوير وإعادة استخدام النفايات البلدية,1544,معالجة النفايات غير الخطرة الاخرى وتصريفها
812904,أنشطة التطهير والتبخير لإبادة الحشرات والقوارض,1840,أنشطة التطهير وإبادة الحشرات والقوارض
466140,البيع بالجملة لزيوت التشحيم والمنتجات النفطية المتكررة,1646,البيع بالجملة لزيوت التشحيم والمنتجات النفطية المتكررة
239640,قطع ونشر الرخام,852685,قطع ونشر الرخام
475130,البيع بالتجزئة للمواد الاساسية للسجاد والتطريز والزخرفة,834448,البيع بالتجزئة للمواد الاساسية للسجاد والتطريز والزخرفة
202321,صناعة المنظفات الصناعية,1462,صناعة المنظفات الصناعية
852111,التعليم الثانوي للطلبة بمنهج وطني,1851,التعليم الثانوي للطلبة
469020,البيع بالجملة  للماكينات المحاسبية والإحصائية والكتابية ومعدات المكاتب ولوازمها,849804,البيع بالجملة  للماكينات المحاسبية والإحصائية والكتابية ومعدات المكاتب ولوازمها
432113,تمديدات  الشبكات,812974,تمديدات  الشبكات
522923,استلام وتفريغ السلع والمنتجات من الناقلات وصفها وترتيبها على الرفوف,813010,استلام وتفريغ السلع والمنتجات من الناقلات وصفها وترتيبها على الرفوف
851022,التعليم الإبتدائي للطالبات بمنهج وطني,1848,التعليم الإبتدائي للطالبات
521024,مخازن مستحضرات التجميل,1298,مستودع تخزين ادوات تجميل
521022,مخازن أغذية وأعلاف الحيوانات,852018,مخازن أغذية وأعلاف الحيوانات
477314,بيع أجهزة القياس والرقابة ومعدات وأجهزة الملاحة,834493,بيع أجهزة القياس والرقابة ومعدات وأجهزة الملاحة
591102,افلام وبرامج الفيديو,1774,افلام وبرامج الفيديو
382201,تشغيل مرافق معالجة النفايات الخطرة,812986,تشغيل مرافق معالجة النفايات الخطرة
433024,تركيب المظلات والسواتر,835965,تركيب المظلات والسواتر
466351,البيع بالجملة للأصباغ والورنيش,849774,البيع بالجملة للأصباغ والورنيش
239534,صناعة الخلطات الخرسانية الجاهزة والجافة متعددة الاستخدامات,852791,صناعة الخلطات الخرسانية الجاهزة والجافة متعددة الاستخدامات
477318,بيع أدوات ومعدات خدمات الطرق,834495,بيع أدوات ومعدات خدمات الطرق
464951,البيع بالجملة للسلع الصيدلانيه,1629,البيع بالجملة للسلع الصيدلانيه
952920,إصلاح وتعديل المجوهرات,834559,إصلاح وتعديل المجوهرات
712010,أنشطة الاختبارات والتحليل الفيزيائي,1806,أنشطة الاختبارات والتحليل الفيزيائي
477336,البيع بالتجزئة للأجهزة الأمنية,843461,البيع بالتجزئة للأجهزة الأمنية
242042,صهر ودرفلة وسحب وتنقية وسبك الألمنيوم وخلائطه,1489,صهر ودرفلة وسحب وتنقية وسبك الألمنيوم وخلائطه
581904,نشر الصور والأشكال المحفورة,858337,نشر الصور والأشكال المحفورة
602032,أنشطة برمجة اشتراك القنوات,857317,أنشطة برمجة اشتراك القنوات
461041,وكلاء البيع في الأدوية,827757,وكلاء البيع في الأدوية
310010,صناعة الأثاث والموبيليا من الخشب,1509,صناعة الأثاث والموبيليا من الخشب
691020,أنشطة التوثيق العام,1222,أنشطة التوثيق العام
